frame_number,detection_index,red_percent,white_percent,center_x,center_y,vertex_count,octagon_like
201,1,8.75,20.54,325,386,6,true
3725,1,12.68,36.82,798,339,7,true
3728,1,10.73,35.88,809,337,7,true
3729,1,11.96,38.43,811,335,7,true
3730,1,15.09,40.32,810,334,8,true
3731,1,14.11,41.38,812,333,6,true
3732,1,12.22,41.63,813,333,8,true
3733,1,14.33,40.34,815,334,7,true
3734,1,11.96,43.19,818,332,8,true
3735,1,14.02,45.78,820,330,8,true
3736,1,13.39,42.80,825,331,7,true
3737,1,13.46,44.88,825,331,7,true
3738,1,13.21,45.59,826,331,7,true
3739,1,13.43,47.53,826,330,7,true
3740,1,13.08,44.85,831,332,7,true
3741,1,13.23,49.12,832,328,6,true
3742,1,14.09,48.25,836,328,7,true
3743,1,14.32,49.69,837,328,8,true
3744,1,14.20,50.86,840,327,8,true
3745,1,13.34,53.16,843,324,7,true
3746,1,14.46,53.00,844,325,7,true
3747,1,13.53,52.38,849,325,8,true
3748,1,14.97,55.42,850,323,8,true
3749,1,16.87,56.30,854,321,8,true
3750,1,17.39,54.83,856,322,7,true
3751,1,15.38,54.30,859,322,7,true
3752,1,17.18,54.91,862,321,8,true
3753,1,17.12,55.48,866,320,7,true
3754,1,18.76,55.30,867,318,7,true
3755,1,19.80,54.47,869,318,8,true
3756,1,18.70,52.37,871,319,8,true
3757,1,18.70,52.37,871,319,8,true
3758,1,21.65,53.75,878,316,8,true
3759,1,24.46,54.39,880,314,8,true
3760,1,21.50,53.45,883,313,7,true
3761,1,22.56,53.10,886,312,7,true
3762,1,23.34,52.99,894,311,8,true
3763,1,25.54,53.60,896,310,7,true
3764,1,14.98,63.33,903,303,8,true
3764,2,26.61,52.15,900,310,8,true
3765,1,15.23,64.31,904,302,8,true
3765,2,26.90,51.58,902,309,8,true
3766,1,15.39,63.82,908,302,7,true
3766,2,27.96,50.13,904,308,7,true
3767,1,16.57,65.01,911,300,7,true
3768,1,17.47,64.38,911,299,8,true
3769,1,18.67,63.67,913,299,7,true
3770,1,18.84,62.27,922,299,7,true
3771,1,19.80,62.23,925,298,8,true
3772,1,22.72,61.52,929,297,7,true
3773,1,19.48,60.30,933,296,8,true
3774,1,20.97,59.69,936,295,7,true
3775,1,20.90,57.75,944,295,8,true
3776,1,24.89,55.67,945,293,6,true
3777,1,25.82,53.44,952,293,7,true
3779,1,26.26,51.26,962,293,8,true
3781,1,30.81,47.56,971,292,6,true
3784,1,32.63,40.78,989,289,8,true
